"","Year","County","Acres seeded ","Acres harvested","Yield (bushels/ac)","Production ('000 bushels)","Production ('000 tonnes)"
"1",2004,"Brant","43200","38000","119.87","4555.10","115.71"
"2",2004,"Chatham-Kent","120100","113100","152.22","17216.57","437.32"
"3",2004,"Elgin","91400","87800","137.58","12079.64","306.84"
"4",2004,"Essex","32100","32100","138.02","4430.59","112.54"
"5",2004,"Haldimand-Norfolk","71300","60500","123.35","7462.91","189.57"
"6",2004,"Hamilton","19100","17100","114.59","1959.47","49.77"
"7",2004,"Lambton","87500","87500","144.16","12613.60","320.40"
"8",2004,"Middlesex","126400","116400","136.11","15843.13","402.44"
"9",2004,"Niagara","17100","15900","111.68","1775.71","45.11"
"10",2004,"Oxford","144800","134400","130.36","17520.26","445.04"
"11",2004,"Bruce","58000","52400","117.42","6152.71","156.29"
"12",2004,"Dufferin","10100","8500","109.16","927.85","23.57"
"13",2004,"Grey","22700","19200","111.20","2135.07","54.23"
"14",2004,"Halton","12500","12500","111.84","1397.99","35.51"
"15",2004,"Huron","186100","186000","134.30","24979.72","634.52"
"16",2004,"Peel","6200","6200","118.41","734.15","18.65"
"17",2004,"Perth","104900","104900","127.47","13371.85","339.66"
"18",2004,"Simcoe","49900","44000","120.23","5290.30","134.38"
"19",2004,"Waterloo","47900","42200","115.13","4858.64","123.42"
"20",2004,"Wellington","43600","41500","114.66","4758.56","120.87"
"21",2004,"Durham","46500","40500","120.44","4877.99","123.91"
"22",2004,"Haliburton","0","0","0","0","0"
"23",2004,"Hastings","14200","13600","115.57","1571.74","39.92"
"24",2004,"Kawartha Lakes","18900","16200","112.71","1825.90","46.38"
"25",2004,"Muskoka","0","0","0","0","0"
"26",2004,"Northumberland","24600","21900","124.97","2736.85","69.52"
"27",2004,"Parry Sound","100","100","98.76","9.88","0.25"
"28",2004,"Peterborough","9400","7900","103.70","819.25","20.81"
"29",2004,"Prince Edward","10600","10600","113.15","1199.41","30.47"
"30",2004,"York","24000","19500","111.62","2176.52","55.29"
"31",2004,"Frontenac","3400","2700","122.57","330.95","8.41"
"32",2004,"Lanark","4200","4200","122.61","514.97","13.08"
"33",2004,"Leeds and Grenville","15000","15000","123.48","1852.13","47.05"
"34",2004,"Lennox and Addington","6200","6200","120.36","746.26","18.96"
"35",2004,"Ottawa","38400","34900","138.33","4827.74","122.63"
"36",2004,"Prescott and Russell","58200","58200","141.40","8229.35","209.04"
"37",2004,"Renfrew","7800","7800","114.64","894.21","22.71"
"38",2004,"Stormont, Dundas and Glengarry","121500","118700","144.57","17160.35","435.90"
"39",2004,"Algoma","200","0","0","0","0"
"40",2004,"Cochrane","0","0","0","0","0"
"41",2004,"Greater Sudbury","0","0","0","0","0"
"42",2004,"Kenora","100","100","95.55","9.55","0.24"
"43",2004,"Manitoulin","300","300","94.29","28.29","0.72"
"44",2004,"Nipissing","0","0","0","0","0"
"45",2004,"Rainy River","0","0","0","0","0"
"46",2004,"Sudbury","0","0","0","0","0"
"47",2004,"Thunder Bay","100","100","97.12","9.71","0.25"
"48",2004,"Timiskaming","1400","1300","86.83","112.88","2.87"
"49",2005,"Brant","35800","35200","156.33","5502.94","139.78"
"50",2005,"Chatham-Kent","113100","112400","159.53","17931.52","455.48"
"51",2005,"Elgin","85400","84900","151.07","12826.15","325.80"
"52",2005,"Essex","35800","35400","132.58","4693.42","119.22"
"53",2005,"Haldimand-Norfolk","74700","73300","139.13","10198.28","259.05"
"54",2005,"Hamilton","20500","19800","143.81","2847.39","72.33"
"55",2005,"Lambton","85700","82200","153.92","12651.86","321.37"
"56",2005,"Middlesex","121800","120500","151.20","18219.59","462.80"
"57",2005,"Niagara","20100","19100","116.44","2223.95","56.49"
"58",2005,"Oxford","143100","141000","164.37","23175.93","588.70"
"59",2005,"Bruce","42400","42000","125.85","5285.64","134.26"
"60",2005,"Dufferin","10600","10600","130.22","1380.28","35.06"
"61",2005,"Grey","12200","12200","122.66","1496.47","38.01"
