Year,County,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
2004,Brant,48000,45200,35.59,1608.74,43.78
2004,Chatham-Kent,245800,244800,43.86,10737.91,292.24
2004,Elgin,111300,111300,40.65,4524.39,123.13
2004,Essex,182100,182100,40.73,7417.8,201.88
2004,Haldimand-Norfolk,148900,147500,35.27,5202.62,141.59
2004,Hamilton,28400,27500,32.45,892.24,24.28
2004,Lambton,257100,257100,42.94,11039.11,300.43
2004,Middlesex,158900,156900,41.09,6447.61,175.47
2004,Niagara,61700,60000,37.95,2277.18,61.97
2004,Oxford,84600,83600,41.93,3505.61,95.41
2004,Bruce ,85300,84200,39.15,3296.22,89.71
2004,Dufferin,24600,24000,29.96,719.05,19.57
2004,Grey,23900,23400,32.36,757.24,20.61
2004,Halton,23500,22700,32.59,739.84,20.13
2004,Huron ,162900,162900,44.41,7234.24,196.88
2004,Peel,16100,15300,37.33,571.21,15.55
2004,Perth,89200,89200,43.82,3908.69,106.38
2004,Simcoe,63700,62700,33.63,2108.55,57.38
2004,Waterloo,35400,34600,38.59,1335.21,36.34
2004,Wellington,77800,76600,37.07,2839.42,77.28
2004,Durham,44000,43100,34.24,1475.55,40.16
2004,Haliburton,0,0,0,0,0
2004,Hastings ,11800,11300,37.87,427.98,11.65
2004,Kawartha Lakes,22200,21400,34.52,738.71,20.1
2004,Muskoka ,0,0,0,0,0
2004,Northumberland,30800,30300,38.11,1154.73,31.43
2004,Parry Sound,100,100,30.25,3.02,8.22
2004,Peterborough,9300,8700,34.69,301.77,8.21
2004,Prince Edward,20700,20300,37.23,755.68,20.57
2004,York ,24400,23100,32.4,748.43,20.37
2004,Frontenac,3400,3400,32.48,110.43,3.01
2004,Lanark,4800,4800,32.77,157.31,4.28
2004,Leeds and Grenville,19400,18500,31.82,588.61,16.02
2004,Lennox and Addington,10800,10800,33.95,366.62,9.98
2004,Ottawa,36700,35700,35.58,1270.04,34.56
2004,Prescott and Russell,56700,56700,37.89,2148.29,58.47
2004,Renfrew,6100,6100,32.85,200.36,5.45
2004,"Stormont, Dundas and Glengarry",90300,90300,36.34,3281.45,89.31
2004,Algoma,0,0,0,0,0
2004,Cochrane,0,0,0,0,0
2004,Kenora,100,100,30.06,3.01,8.19
2004,Manitoulin,100,100,30.9,3.09,8.41
2004,Nipissing,1400,1000,27.39,27.39,0.75
2004,Rainy River,200,200,26.13,5.23,0.14
2004,Sudbury,0,0,0,0,0
2004,Greater Sudbury,0,0,0,0,0
2004,Thunder Bay,300,200,30.18,6.04,0.16
2004,Timiskaming,2200,2200,28.9,63.58,1.73
2005,Brant,44700,44700,46,2061,56.1
2005,Chatham-Kent,240300,240300,43,10226,278.3
2005,Elgin,122200,122200,42,5134,139.7
2005,Essex,178400,178400,39,6974,189.8
2005,Haldimand-Norfolk,141800,139900,39,5504,149.8
2005,Hamilton,29100,29100,43,1243,33.8
2005,Lambton,261000,259800,43,11113,302.5
2005,Middlesex,153800,153800,43,6649,180.9
2005,Niagara,60800,60800,36,2186,59.5
2005,Oxford,79800,79800,50,3966,107.9
2005,Bruce ,70400,70400,37,2591,70.5
2005,Dufferin,38400,38400,37,1437,39.1
2005,Grey,18800,18800,36,678,18.5
2005,Halton,23200,23200,32,746,20.3
2005,Huron ,163000,163000,46,7569,206
2005,Peel,21400,21000,38,806,21.9
2005,Perth,83500,83500,49,4123,112.2
2005,Simcoe,77100,77100,36,2772,75.4
2005,Waterloo,34800,34800,43,1503,40.9
2005,Wellington,64800,64800,40,2578,70.2
2005,Durham,42000,42000,35,1473,40.1
2005,Haliburton,0,0,0,0,0
2005,Hastings ,10000,10000,30,302,8.2
2005,Kawartha Lakes,29800,29800,31,934,25.4
2005,Muskoka ,0,0,0,0,0
2005,Northumberland,26800,26800,33,891,24.2
2005,Parry Sound,100,100,36,4,0.1
2005,Peterborough,10900,10900,31,338,9.2
2005,Prince Edward,23000,23000,29,677,18.4
2005,York ,25300,25300,34,858,23.3
2005,Frontenac,4900,4900,30,146,4
2005,Lanark,7600,7600,27,204,5.5
2005,Leeds and Grenville,13300,11400,39,439,12
2005,Lennox and Addington,11200,10000,23,231,6.3
2005,Ottawa,48000,46000,39,1785,48.6
2005,Prescott and Russell,56300,56300,44,2462,67
2005,Renfrew,4300,4300,29,124,3.4
