Year,County,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bushels),Production ('000 tonnes)
2004,Brant,11700,11700,65.51,766.48,20.86
2004,Chatham-Kent,88900,88900,79.42,7060.12,192.14
2004,Elgin,35500,35500,74.55,2646.7,72.03
2004,Essex,51800,51800,67.84,3514.04,95.64
2004,Haldimand-Norfolk,27300,27300,52.11,1422.61,38.72
2004,Hamilton,7300,7300,56.28,410.81,11.18
2004,Lambton,108000,108000,77.21,8338.68,226.94
2004,Middlesex,75500,75500,77.59,5858.34,159.44
2004,Niagara,11800,11800,46.85,552.87,15.05
2004,Oxford,35500,35500,78.67,2792.85,76.01
2004,Bruce ,15000,15000,77.2,1157.98,31.51
2004,Dufferin,7400,7400,70.47,521.51,14.19
2004,Grey,4700,4700,59.94,281.73,7.67
2004,Halton,7300,7300,59.57,434.89,11.84
2004,Huron ,65000,65000,76.07,4944.32,134.56
2004,Peel,5200,5200,67.4,350.49,9.54
2004,Perth,48700,48700,76.33,3717.27,101.17
2004,Simcoe,27000,27000,71.34,1926.16,52.42
2004,Waterloo,13000,13000,70.78,920.11,25.04
2004,Wellington,28700,28700,69.17,1985.16,54.03
2004,Durham,22800,22800,69.45,1583.53,43.1
2004,Haliburton,0,0,0,0,0
2004,Hastings ,3300,3300,63.39,209.2,5.69
2004,Kawartha Lakes,11100,11100,62.74,696.45,18.95
2004,Muskoka ,0,0,0,0,0
2004,Northumberland,9700,9700,66.12,641.37,17.46
2004,Parry Sound,0,0,0,0,0
2004,Peterborough,3100,3100,48.97,151.82,4.13
2004,Prince Edward,7000,7000,73.03,511.18,13.91
2004,York ,5600,5600,68.49,383.55,10.44
2004,Frontenac,800,800,48.85,39.08,1.06
2004,Lanark,800,800,45.73,36.59,1
2004,Leeds and Grenville,300,300,63.56,19.07,0.52
2004,Lennox and Addington,5700,5700,49.15,280.17,7.62
2004,Ottawa,800,800,53.08,42.47,1.16
2004,Prescott and Russell,500,500,50.74,25.37,0.69
2004,Renfrew,500,500,62.33,31.17,0.85
2004,"Stormont, Dundas and Glengarry",1000,1000,46.63,46.63,1.27
2004,Algoma,100,100,43.68,4.37,0.12
2004,Cochrane,0,0,0,0,0
2004,Kenora,0,0,0,0,0
2004,Manitoulin,300,300,47.87,14.36,0.39
2004,Nipissing,200,200,52.08,10.42,0.28
2004,Rainy River,0,0,0,0,0
2004,Sudbury,0,0,0,0,0
2004,Greater Sudbury,0,0,0,0,0
2004,Thunder Bay,0,0,0,0,0
2004,Timiskaming,1100,1100,65.24,71.77,1.95
2005,Brant,14300,14300,61.6,880.82,23.97
2005,Chatham-Kent,90500,90500,76.18,6894.22,187.63
2005,Elgin,36000,36000,73.33,2640,71.85
2005,Essex,48300,48300,66.2,3197.62,87.02
2005,Haldimand-Norfolk,27900,27900,63.47,1770.75,48.19
2005,Hamilton,10800,10800,59.31,640.5,17.43
2005,Lambton,107600,107600,74.37,8001.86,217.77
2005,Middlesex,76500,76500,79.71,6097.48,165.94
2005,Niagara,19100,19100,59.09,1128.64,30.72
2005,Oxford,42700,42700,80.51,3437.64,93.56
2005,Bruce ,28200,28200,72.13,2034.05,55.36
2005,Dufferin,5500,5500,61.33,337.33,9.18
2005,Grey,6200,6200,59.32,367.81,10.01
2005,Halton,9500,9500,55.1,523.45,14.25
2005,Huron ,81600,81600,75.76,6181.98,168.24
2005,Peel,4600,4600,55.87,256.98,6.99
2005,Perth,57400,57400,81.25,4663.61,126.92
2005,Simcoe,37400,37400,55.72,2084.04,56.72
2005,Waterloo,15600,15600,63.43,989.46,26.93
2005,Wellington,34800,34800,66.35,2309.15,62.84
2005,Durham,21700,21700,46.11,1000.66,27.23
2005,Haliburton,0,0,0,0,0
2005,Hastings ,3500,3500,43.77,153.19,4.17
2005,Kawartha Lakes,10200,10200,49.42,504.08,13.72
2005,Muskoka ,0,0,0,0,0
2005,Northumberland,9900,9900,54.48,539.4,14.68
2005,Parry Sound,0,0,0,0,0
2005,Peterborough,5100,5100,46.18,235.52,6.41
2005,Prince Edward,9200,9200,43.58,400.95,10.91
2005,York ,7600,7600,55.55,422.21,11.49
2005,Frontenac,400,400,40.19,16.08,0.44
2005,Lanark,600,600,39.54,23.73,0.65
2005,Leeds and Grenville,200,200,45.75,9.15,0.25
2005,Lennox and Addington,3000,3000,40.1,120.29,3.27
2005,Ottawa,300,300,57.91,17.37,0.47
2005,Prescott and Russell,300,300,58.69,17.61,0.48
2005,Renfrew,1300,1300,56.97,74.06,2.02
2005,"Stormont, Dundas and Glengarry",900,900,58.21,52.39,1.43
2005,Algoma,0,0,0,0,0
2005,Cochrane,0,0,0,0,0
2005,Kenora,0,0,0,0,0
2005,Manitoulin,100,100,48.02,4.8,0.13
2005,Nipissing,0,0,0,0,0
2005,Rainy River,0,0,0,0,0
2005,Sudbury,0,0,0,0,0
2005,Greater Sudbury,0,0,0,0,0
2005,Thunder Bay,0,0,0,0,0
2005,Timiskaming,1200,1200,60.14,72.16,1.96
2006,Brant,13621,13600,79,1074.4,29.24
2006,Chatham-Kent,100352,100000,92,9200,250.38
2006,Elgin,48779,48600,85,4131,112.43
2006,Essex,65859,65600,89,5838.4,158.89
2006,Haldimand-Norfolk,41256,41100,70,2877,78.3
2006,Hamilton,7932,7900,71,560.9,15.27
2006,Lambton,126842,126500,87,11005.5,299.52
2006,Middlesex,98628,98300,89,8748.7,238.1
2006,Niagara,16340,16300,64,1043.2,28.39
2006,Oxford,44763,44600,93,4147.8,112.88
2006,Bruce,44957,44800,80,3584,97.54
2006,Dufferin,11954,11900,80,952,25.91
2006,Grey,10734,10700,82,877.4,23.88
2006,Halton,8843,8800,67,589.6,16.05
2006,Huron,99250,98900,88,8703.2,236.86
2006,Peel,7849,7800,66,514.8,14.01
2006,Perth,64381,64200,96,6163.2,167.73
2006,Simcoe,46291,46100,77,3549.7,96.61
2006,Waterloo,18853,18800,83,1560.4,42.47
2006,Wellington,48894,48700,84,4090.8,111.33
2006,Durham,23638,23600,70,1652,44.96
2006,Haliburton,0,0,0,0,0
2006,Hastings,5162,5100,65,331.5,9.02
2006,Kawartha Lakes,14423,14400,66,950.4,25.87
2006,Muskoka,0,0,0,0,0
2006,Northumberland,13460,13400,66,884.4,24.07
2006,Parry Sound,0,200,47,9.4,0.26
2006,Peterborough,5819,5800,63,365.4,9.94
2006,Prince Edward,12595,12600,65,819,22.29
2006,York,11713,11700,68,795.6,21.65
2006,Frontenac,740,700,75,52.5,1.43
2006,Lanark,0,0,50,0,0
2006,Leeds and Grenville,497,500,58,29,0.79
2006,Lennox and Addington,4992,5000,60,300,8.16
2006,Ottawa,963,1000,72,72,1.96
2006,Prescott and Russell,842,800,47,37.6,1.02
2006,Renfrew,0,0,60,0,0
2006,"Stormont, Dundas and Glengarry",0,0,81,0,0
2006,Algoma,105,0,0,0,0
2006,Cochrane,0,0,0,0,0
2006,Greater Sudbury,0,0,0,0,0
2006,Kenora,0,0,0,0,0
2006,Manitoulin,0,0,0,0,0
2006,Nipissing,165,0,0,0,0
2006,Rainy River,0,0,0,0,0
2006,Sudbury,0,0,0,0,0
2006,Thunder Bay,44,0,0,0,0
2006,Timiskaming,0,0,0,0,0
2007,Brant,11000,11000,63,693,18.86
2007,Chatham-Kent,53000,53000,77,4081,111.07
2007,Elgin,20000,20000,67,1340,36.47
2007,Essex,28000,28000,69,1932,52.58
2007,Haldimand-Norfolk,11000,11000,52,572,15.57
2007,Hamilton,4000,4000,63,252,6.86
2007,Lambton,40000,40000,69,2760,75.11
2007,Middlesex,40000,40000,77,3080,83.82
2007,Niagara,4500,4500,40,180,4.9
2007,Oxford,31000,31000,81,2511,68.34
2007,Bruce,26000,26000,76,1976,53.78
2007,Dufferin,6600,6600,71,468.6,12.75
2007,Grey,7000,7000,70,490,13.34
2007,Halton,5900,5900,65,383.5,10.44
2007,Huron,85000,85000,82,6970,189.69
2007,Peel,5600,5600,66,369.6,10.06
2007,Perth,51000,51000,87,4437,120.75
2007,Simcoe,40000,40000,75,3000,81.65
2007,Waterloo,11500,11500,74,851,23.16
2007,Wellington,35000,35000,76,2660,72.39
2007,Durham,20000,20000,69,1380,37.56
2007,Haliburton,0,0,0,0,0
2007,Hastings,3800,3800,58,220.4,6
2007,Kawartha Lakes,11000,11000,62,682,18.56
2007,Muskoka,0,0,0,0,0
2007,Northumberland,12000,12000,60,720,19.6
2007,Parry Sound,0,0,0,0,0
2007,Peterborough,4100,4100,53,217.3,5.91
2007,Prince Edward,9500,9500,56,532,14.48
2007,York,7000,7000,57,399,10.86
2007,Frontenac,0,0,0,0,0
2007,Lanark,0,0,0,0,0
2007,Leeds and Grenville,0,0,0,0,0
2007,Lennox and Addington,3600,3600,55,198,5.39
2007,Ottawa,0,0,0,0,0
2007,Prescott and Russell,0,0,0,0,0
2007,Renfrew,0,0,0,0,0
2007,"Stormont, Dundas and Glengarry",0,0,0,0,0
2007,Algoma,0,0,0,0,0
2007,Cochrane,0,0,0,0,0
2007,Greater Sudbury,0,0,0,0,0
2007,Kenora,0,0,0,0,0
2007,Manitoulin,0,0,0,0,0
2007,Nipissing,0,0,0,0,0
2007,Rainy River,0,0,0,0,0
2007,Sudbury,0,0,0,0,0
2007,Thunder Bay,0,0,0,0,0
2007,Timiskaming,4000,4000,57,228,6.21
2008,Brant,18000,18000,80,1440,39.19
2008,Chatham-Kent,109000,109000,74.9,8164.1,222.19
2008,Elgin,55000,55000,81,4455,121.24
2008,Essex,75000,75000,72,5400,146.96
2008,Haldimand-Norfolk,42000,42000,77,3234,88.01
2008,Hamilton,10000,10000,76,760,20.68
2008,Lambton,133000,133000,79,10507,285.95
2008,Middlesex,116000,116000,83,9628,262.03
2008,Niagara,29000,29000,75,2175,59.19
2008,Oxford,52000,52000,92,4784,130.2
2008,Bruce,58000,58000,89,5162,140.49
2008,Dufferin,19000,19000,79,1501,40.85
2008,Grey,17000,17000,70,1190,32.39
2008,Halton,10000,10000,64,640,17.42
2008,Huron,107000,107000,90,9630,262.08
2008,Peel,6500,6500,79,513.5,13.98
2008,Perth,83000,83000,93,7719,210.08
2008,Simcoe,49000,49000,74,3626,98.68
2008,Waterloo,33000,33000,82,2706,73.64
2008,Wellington,76000,76000,87,6612,179.95
2008,Durham,20000,20000,69,1380,37.56
2008,Haliburton,0,0,0,0,0
2008,Hastings,7500,7500,62,465,12.66
2008,Kawartha Lakes,20000,20000,61,1220,33.2
2008,Muskoka,0,0,0,0,0
2008,Northumberland,16000,16000,70,1120,30.48
2008,Parry Sound,0,0,0,0,0
2008,Peterborough,9500,9500,62,589,16.03
2008,Prince Edward,11000,11000,69,759,20.66
2008,York,17000,17000,62,1054,28.68
2008,Frontenac,0,0,0,0,0
2008,Lanark,0,0,0,0,0
2008,Leeds and Grenville,0,0,0,0,0
2008,Lennox and Addington,9500,9500,77,731.5,19.91
2008,Ottawa,0,0,0,0,0
2008,Prescott and Russell,0,0,0,0,0
2008,Renfrew,2200,2200,59,129.8,3.53
2008,"Stormont, Dundas and Glengarry",3500,3500,83,290.5,7.91
2008,Algoma,0,0,0,0,0
2008,Cochrane,0,0,0,0,0
2008,Greater Sudbury,0,0,0,0,0
2008,Kenora,0,0,0,0,0
2008,Manitoulin,0,0,0,0,0
2008,Nipissing,0,0,0,0,0
2008,Rainy River,0,0,0,0,0
2008,Sudbury,0,0,0,0,0
2008,Thunder Bay,0,0,0,0,0
2008,Timiskaming,5800,5800,70,406,11.05
2009,Brant,18000,18000,66,1188,32.33
2009,Chatham-Kent,85000,85000,82,6970,189.69
2009,Elgin,35000,35000,82,2870,78.11
2009,Essex,65000,65000,81,5265,143.29
2009,Haldimand-Norfolk,34000,34000,61,2074,56.44
2009,Hamilton,8000,8000,63,504,13.72
2009,Lambton,95000,95000,73,6935,188.74
2009,Middlesex,85000,85000,75,6375,173.5
2009,Niagara,17000,17000,57,969,26.37
2009,Oxford,50000,50000,81,4050,110.22
2009,Bruce,48000,48000,75,3600,97.98
2009,Dufferin,8000,8000,66,528,14.37
2009,Grey,9000,9000,63,567,15.43
2009,Halton,6000,6000,62,372,10.12
2009,Huron,80000,80000,77,6160,167.65
2009,Peel,5000,5000,61,305,8.3
2009,Perth,60000,60000,83,4980,135.53
2009,Simcoe,43000,43000,67,2881,78.41
2009,Waterloo,18000,18000,74,1332,36.25
2009,Wellington,55000,55000,75,4125,112.26
2009,Durham,23000,23000,53,1219,33.18
2009,Haliburton,0,0,0,0,0
2009,Hastings,5000,5000,68,340,9.25
2009,Kawartha Lakes,15000,15000,51,765,20.82
2009,Muskoka,0,0,0,0,0
2009,Northumberland,15000,15000,57,855,23.27
2009,Parry Sound,0,0,0,0,0
2009,Peterborough,8000,8000,50,400,10.89
2009,Prince Edward,9000,9000,66,594,16.17
2009,York,11000,11000,51,561,15.27
2009,Frontenac,1200,1200,63,76,0
2009,Lanark,200,200,57,11,0
2009,Leeds and Grenville,1100,1100,57,63,0
2009,Lennox and Addington,8000,8000,68,544,14.81
2009,Ottawa,400,400,70,28,0
2009,Prescott and Russell,500,500,58,29,0
2009,Renfrew,3500,3500,71,249,6.78
2009,"Stormont, Dundas and Glengarry",1100,1100,65,72,1.96
2009,Algoma,0,0,0,0,0
2009,Cochrane,0,0,0,0,0
2009,Greater Sudbury,0,0,0,0,0
2009,Kenora,0,0,0,0,0
2009,Manitoulin,0,0,0,0,0
2009,Nipissing,0,0,0,0,0
2009,Rainy River,0,0,0,0,0
2009,Sudbury,0,0,0,0,0
2009,Thunder Bay,0,0,0,0,0
2009,Timiskaming,0,0,0,0,0
2010,Brant,10000,10000,72,720,19.6
2010,Chatham-Kent,72000,72000,89,6408,174.4
2010,Elgin,26000,26000,85,2210,60.15
2010,Essex,50000,50000,86,4300,117.03
2010,Haldimand-Norfolk,18000,18000,72,1296,35.27
2010,Hamilton,8000,8000,72,576,15.68
2010,Lambton,100000,100000,87,8700,236.77
2010,Middlesex,69000,69000,87,6003,163.37
2010,Niagara,12000,12000,67,804,21.88
2010,Oxford,41000,41000,86,3526,95.96
2010,Bruce,35000,35000,77,2695,73.35
2010,Dufferin,10000,10000,64,640,17.42
2010,Grey,8000,8000,61,488,13.28
2010,Halton,5000,5000,60,300,8.16
2010,Huron,84000,84000,82,6888,187.46
2010,Peel,4000,4000,73,292,7.95
2010,Perth,63000,63000,86,5418,147.45
2010,Simcoe,41000,41000,70,2870,78.11
2010,Waterloo,18000,18000,73,1314,35.76
2010,Wellington,60000,60000,76,4560,124.1
2010,Durham,14000,14000,65,910,24.77
2010,Haliburton,0,0,0,0,0
2010,Hastings,4000,4000,53,212,5.77
2010,Kawartha Lakes,11000,11000,58,638,17.36
2010,Muskoka,0,0,0,0,0
2010,Northumberland,18000,18000,55,990,26.94
2010,Parry Sound,0,0,0,0,0
2010,Peterborough,6000,6000,60,360,9.8
2010,Prince Edward,12000,12000,57,684,18.62
2010,York,7000,7000,59,413,11.24
2010,Frontenac,800,800,58,46,1.25
2010,Lanark,0,0,0,0,0
2010,Leeds and Grenville,0,0,0,0,0
2010,Lennox and Addington,3000,3000,66,198,5.39
2010,Ottawa,500,500,84,42,1.14
2010,Prescott and Russell,0,0,0,0,0
2010,Renfrew,1000,1000,64,64,1.74
2010,"Stormont, Dundas and Glengarry",0,0,0,0,0
2010,Algoma,0,0,0,0,0
2010,Cochrane,0,0,0,0,0
2010,Greater Sudbury,0,0,0,0,0
2010,Kenora,0,0,0,0,0
2010,Manitoulin,0,0,0,0,0
2010,Nipissing,0,0,0,0,0
2010,Rainy River,0,0,0,0,0
2010,Sudbury,0,0,0,0,0
2010,Thunder Bay,0,0,0,0,0
2010,Timiskaming,2500,2500,66,165,4.49
2011,Brant,9225.25,9060.49,74.42,674.26,18.35
2011,Chatham-Kent,98037.31,96286.41,71.85,6918.48,188.29
2011,Elgin,40812.97,40084.07,81.32,3259.78,88.72
2011,Essex,68333.58,67113.18,64.5,4328.6,117.8
2011,Haldimand-Norfolk,33496.04,32897.82,48.93,1609.75,43.81
2011,Hamilton,15726.93,15446.06,49.98,772.02,21.01
2011,Lambton,122672.12,120481.25,78.23,9425.71,256.52
2011,Middlesex,95686.89,93977.97,84.46,7936.95,216.01
2011,Niagara,18348.09,18020.4,47.68,859.13,23.38
2011,Oxford,39011.11,38314.39,93.67,3588.84,97.67
2011,Bruce,50559.05,49657.99,86.66,4303.14,117.11
2011,Dufferin,15447.32,15172.02,52.32,793.87,21.61
2011,Grey,17562.01,17249.02,71.57,1234.51,33.6
2011,Halton,9586.83,9415.97,51.84,488.16,13.29
2011,Huron,93366.27,91702.29,90.66,8313.59,226.26
2011,Peel,5211.95,5119.06,85.65,438.47,11.93
2011,Perth,81169.89,79723.27,86.95,6932.07,188.66
2011,Simcoe,63823.03,62685.57,83.51,5235.02,142.47
2011,Waterloo,15899.15,15615.8,79.33,1238.81,33.71
2011,Wellington,61148.93,60059.13,77.14,4632.95,126.09
