x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.1,2023-12-01 00:00:00,ON,2023,12,1,7.5,,5,,10,,6,,6,,0,,0,,,,,,0,,10.5,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.2,2023-12-02 00:00:00,ON,2023,12,2,2,,1,,3,,1.8,,1.8,,0,,0,,,,,,0,,16,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.3,2023-12-03 00:00:00,ON,2023,12,3,0.3,,-1.5,,2,,26.2,,15.2,,11,,0,,,,,,0,,17.7,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.4,2023-12-04 00:00:00,ON,2023,12,4,-1.8,,-3.5,,0,,0,T,0,,0,T,11,,,,,,0,,19.8,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.5,2023-12-05 00:00:00,ON,2023,12,5,-3.3,,-4,,-2.5,,0,,0,,0,,0,,,,,,0,,21.3,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.6,2023-12-06 00:00:00,ON,2023,12,6,-9.5,,-14,,-5,,0,,0,,0,,11,,,,,,0,,27.5,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.7,2023-12-07 00:00:00,ON,2023,12,7,-8.5,,-12,,-5,,1,,0,,1,,11,,,,,,0,,26.5,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.8,2023-12-08 00:00:00,ON,2023,12,8,-4.3,,-7,,-1.5,,0,,0,,0,,9,,,,,,0,,22.3,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.9,2023-12-09 00:00:00,ON,2023,12,9,-0.3,,-4,,3.5,,0,,0,,0,,8,,,,,,0,,18.3,,,,,
-74.7489,45.01557833333333,CORNWALL,6101874,6101874.2023.12.10,2023-12-10 00:00:00,ON,2023,12,10,5,,0.5,,9.5,,7.3,,7.3,,0,,2,,,,,,0,,13,,,,,
