x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.10,2015-08-10 00:00:00,ON,2015,8,10,20.1,,13.3,,26.9,,,M,,M,,M,,,29,,39,,2.1,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.11,2015-08-11 00:00:00,ON,2015,8,11,13.3,,8.9,,17.6,,,M,,M,,M,,,31,,39,,0,,4.7,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.12,2015-08-12 00:00:00,ON,2015,8,12,14.1,,5.9,,22.3,,,M,,M,,M,,,30,,35,,0,,3.9,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.13,2015-08-13 00:00:00,ON,2015,8,13,17.8,,6.8,,28.7,,,M,,M,,M,,,34,,72,,0,,0.2,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.14,2015-08-14 00:00:00,ON,2015,8,14,20.9,,12.6,,29.1,,,M,,M,,M,,,0,,0,,2.9,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.15,2015-08-15 00:00:00,ON,2015,8,15,20.1,,10.1,,30,,,M,,M,,M,,,18,,37,,2.1,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.16,2015-08-16 00:00:00,ON,2015,8,16,23.9,,16.3,,31.4,,,M,,M,,M,,,23,,52,,5.9,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.17,2015-08-17 00:00:00,ON,2015,8,17,18.8,,14.4,,23.2,,,M,,M,,M,,,0,,0,,0.8,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.18,2015-08-18 00:00:00,ON,2015,8,18,14.5,,12.9,,16,,,M,,M,,M,,,0,,0,,0,,3.5,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.19,2015-08-19 00:00:00,ON,2015,8,19,20,,14.3,,25.7,,,M,,M,,M,,,18,,50,,2,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.20,2015-08-20 00:00:00,ON,2015,8,20,17.5,,12.8,,22.2,,,M,,M,,M,,,19,,37,,0,,0.5,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.21,2015-08-21 00:00:00,ON,2015,8,21,16.7,,11,,22.3,,,M,,M,,M,,,29,,41,,0,,1.3,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.22,2015-08-22 00:00:00,ON,2015,8,22,17.7,,9.2,,26.1,,,M,,M,,M,,,19,,33,,0,,0.3,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.23,2015-08-23 00:00:00,ON,2015,8,23,20.2,,14.5,,25.9,,,M,,M,,M,,,15,,48,,2.2,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.24,2015-08-24 00:00:00,ON,2015,8,24,15.1,,11.1,,19.1,,,M,,M,,M,,,14,,37,,0,,2.9,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.25,2015-08-25 00:00:00,ON,2015,8,25,12.6,,9.2,,15.9,,,M,,M,,M,,,0,,0,,0,,5.4,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.26,2015-08-26 00:00:00,ON,2015,8,26,11.4,,8.5,,14.3,,,M,,M,,M,,,0,,0,,0,,6.6,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.27,2015-08-27 00:00:00,ON,2015,8,27,15.6,,10.1,,21,,,M,,M,,M,,,0,,0,,0,,2.4,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.28,2015-08-28 00:00:00,ON,2015,8,28,16.1,,9.5,,22.7,,,M,,M,,M,,,20,,33,,0,,1.9,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.29,2015-08-29 00:00:00,ON,2015,8,29,18.3,,14.8,,21.7,,,M,,M,,M,,,0,,0,,0.3,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.30,2015-08-30 00:00:00,ON,2015,8,30,18.1,,11.3,,24.8,,,M,,M,,M,,,25,,46,,0.1,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.8.31,2015-08-31 00:00:00,ON,2015,8,31,19.8,,15.4,,24.1,,,M,,M,,M,,,0,,0,,1.8,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.1,2015-09-01 00:00:00,ON,2015,9,1,22.2,,16.8,,27.6,,,M,,M,,M,,,25,,37,,4.2,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.2,2015-09-02 00:00:00,ON,2015,9,2,21.2,,13.8,,28.5,,,M,,M,,M,,,0,,0,,3.2,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.3,2015-09-03 00:00:00,ON,2015,9,3,17.8,,9.6,,25.9,,,M,,M,,M,,,4,,32,,0,,0.2,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.4,2015-09-04 00:00:00,ON,2015,9,4,17.3,,6.8,,27.7,,,M,,M,,M,,,0,,0,,0,,0.7,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.5,2015-09-05 00:00:00,ON,2015,9,5,19.4,,10.4,,28.4,,,M,,M,,M,,,18,,33,,1.4,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.6,2015-09-06 00:00:00,ON,2015,9,6,22.1,,16,,28.2,,,M,,M,,M,,,21,,33,,4.1,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.7,2015-09-07 00:00:00,ON,2015,9,7,20.6,,14.9,,26.3,,,M,,M,,M,,,0,,0,,2.6,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.8,2015-09-08 00:00:00,ON,2015,9,8,16,,10.8,,21.2,,,M,,M,,M,,,10,,35,,0,,2,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.9,2015-09-09 00:00:00,ON,2015,9,9,13.7,,7.3,,20,,,M,,M,,M,,,27,,48,,0,,4.3,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.10,2015-09-10 00:00:00,ON,2015,9,10,12.5,,4.7,,20.2,,,M,,M,,M,,,23,,50,,0,,5.5,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.11,2015-09-11 00:00:00,ON,2015,9,11,8.7,,5,,12.4,,,M,,M,,M,,,29,,39,,0,,9.3,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.12,2015-09-12 00:00:00,ON,2015,9,12,8.9,,4.5,,13.3,,,M,,M,,M,,,0,,0,,0,,9.1,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.13,2015-09-13 00:00:00,ON,2015,9,13,12.8,,7.4,,18.1,,,M,,M,,M,,,0,,0,,0,,5.2,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.14,2015-09-14 00:00:00,ON,2015,9,14,17,,9.2,,24.8,,,M,,M,,M,,,19,,39,,0,,1,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.15,2015-09-15 00:00:00,ON,2015,9,15,19.9,,11.9,,27.9,,,M,,M,,M,,,20,,32,,1.9,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.16,2015-09-16 00:00:00,ON,2015,9,16,22.4,,15.5,,29.3,,,M,,M,,M,,,19,,48,,4.4,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.17,2015-09-17 00:00:00,ON,2015,9,17,22.2,,15.4,,29,,,M,,M,,M,,,21,,43,,4.2,,0,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.18,2015-09-18 00:00:00,ON,2015,9,18,13.9,,7.9,,19.9,,,M,,M,,M,,,32,,43,,0,,4.1,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.19,2015-09-19 00:00:00,ON,2015,9,19,6,,2.1,,9.9,,,M,,M,,M,,,34,,43,,0,,12,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.20,2015-09-20 00:00:00,ON,2015,9,20,11.5,,2.3,,20.7,,,M,,M,,M,,,29,,41,,0,,6.5,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.21,2015-09-21 00:00:00,ON,2015,9,21,14.8,,7.3,,22.3,,,M,,M,,M,,,18,,44,,0,,3.2,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.22,2015-09-22 00:00:00,ON,2015,9,22,15.5,,9,,22,,,M,,M,,M,,,19,,43,,0,,2.5,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.23,2015-09-23 00:00:00,ON,2015,9,23,10,,2.4,,17.5,,,M,,M,,M,,,0,,0,,0,,8,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.24,2015-09-24 00:00:00,ON,2015,9,24,6.8,,-1.1,,14.6,,,M,,M,,M,,,0,,0,,0,,11.2,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.25,2015-09-25 00:00:00,ON,2015,9,25,10.9,,4.2,,17.6,,,M,,M,,M,,,0,,0,,0,,7.1,,,,,
-81.37666666666667,48.57055555555556,TIMMINS A,6078286,6078286.2015.9.26,2015-09-26 00:00:00,ON,2015,9,26,13,,3.8,,22.1,,,M,,M,,M,,,19,,32,,0,,5,,,,,
