x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.9,2024-11-09 00:00:00,ON,2024,11,9,0.6,,-5.1,,6.2,,0,,0,,0,,,,,M,,M,0,,17.4,,45,,95,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.10,2024-11-10 00:00:00,ON,2024,11,10,2.3,,-0.5,,5,,3.1,,2.9,,0.2,,,,,M,,M,0,,15.7,,81,,100,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.11,2024-11-11 00:00:00,ON,2024,11,11,2.5,,-1.6,,6.5,,6.2,,6.2,,0,,,,36,,60,,0,,15.5,,79,,100,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.12,2024-11-12 00:00:00,ON,2024,11,12,-2.1,,-4.7,,0.6,,0,T,0,,0,T,,,35,,41,,0,,20.1,,64,,87,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.13,2024-11-13 00:00:00,ON,2024,11,13,-1.1,,-5.7,,3.6,,0,,0,,0,,,,13,,31,,0,,19.1,,54,,90,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.14,2024-11-14 00:00:00,ON,2024,11,14,2,,-1.5,,5.5,,0,,0,,0,,,,,M,,M,0,,16,,40,,77,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.15,2024-11-15 00:00:00,ON,2024,11,15,1.4,,-0.5,,3.3,,0,,0,,0,,,,,M,,M,0,,16.6,,56,,76,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.16,2024-11-16 00:00:00,ON,2024,11,16,,M,,M,,M,0,,0,,0,,,,,M,,M,,M,,M,,M,,M
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.17,2024-11-17 00:00:00,ON,2024,11,17,3.4,,-0.9,,7.7,,0,T,0,T,0,,,,16,,71,,0,,14.6,,90,,100,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.18,2024-11-18 00:00:00,ON,2024,11,18,3.3,,-0.8,,7.4,,0,,0,,0,,,,27,,33,,0,,14.7,,63,,98,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.19,2024-11-19 00:00:00,ON,2024,11,19,3.2,,-0.8,,7.1,,0.9,,0.9,,0,,,,9,,36,,0,,14.8,,68,,99,
-80.79777777777778,46.62555555555556,SUDBURY A,6068153,6068153.2024.11.20,2024-11-20 00:00:00,ON,2024,11,20,4.7,,3.8,,5.5,,0.9,,0.9,,0,,,,,M,,M,0,,13.3,,81,,98,
