x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.7.31,2012-07-31 00:00:00,ON,2012,7,31,24.9,,19.8,,30,,1.6,,1.6,,0,,0,,0,,0,,6.9,,0,,51,,93,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.1,2012-08-01 00:00:00,ON,2012,8,1,24.1,,19.3,,28.8,,0,,0,,0,,0,,0,,0,,6.1,,0,,42,,88,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.2,2012-08-02 00:00:00,ON,2012,8,2,25,,19.4,,30.5,,0,T,0,T,0,,0,,0,,0,,7,,0,,42,,87,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.3,2012-08-03 00:00:00,ON,2012,8,3,26.5,,19.9,,33.1,,0,,0,,0,,0,,0,,0,,8.5,,0,,40,,96,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.4,2012-08-04 00:00:00,ON,2012,8,4,27.4,,22.5,,32.2,,3,,3,,0,,0,,22,E,44,E,9.4,,0,,58,,94,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.5,2012-08-05 00:00:00,ON,2012,8,5,25,,19.2,,30.8,,3.4,,3.4,,0,,0,,29,E,44,E,7,,0,,37,,97,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.6,2012-08-06 00:00:00,ON,2012,8,6,20.9,,15.6,,26.1,,0,,0,,0,,0,,0,,0,,2.9,,0,,43,,82,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.7,2012-08-07 00:00:00,ON,2012,8,7,23.7,,17.7,,29.7,,0,,0,,0,,0,,18,,33,,5.7,,0,,42,,88,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.8,2012-08-08 00:00:00,ON,2012,8,8,24.7,,20.1,,29.3,,0,,0,,0,,0,,0,,0,,6.7,,0,,45,,82,
-82.95555555555555,42.275555555555556,WINDSOR A,6139525,6139525.2012.8.9,2012-08-09 00:00:00,ON,2012,8,9,19.5,,17.4,,21.6,,20,,20,,0,,0,,0,,0,,1.5,,0,,85,,97,
