x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.7,2017-06-07 00:00:00,ON,2017,6,7,12.2,,6.4,,17.9,,0.3,,,M,,M,,,0,,0,,0,,5.8,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.8,2017-06-08 00:00:00,ON,2017,6,8,13.4,,6.6,,20.1,,1.5,,,M,,M,,,0,,0,,0,,4.6,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.9,2017-06-09 00:00:00,ON,2017,6,9,16.7,,14.1,,19.2,,0.2,,,M,,M,,,0,,0,,0,,1.3,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.10,2017-06-10 00:00:00,ON,2017,6,10,20,,11.9,,28,,0,,,M,,M,,,20,,57,,2,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.11,2017-06-11 00:00:00,ON,2017,6,11,24.8,,20.8,,28.7,,0.2,,,M,,M,,,22,,57,,6.8,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.12,2017-06-12 00:00:00,ON,2017,6,12,23.6,,18.9,,28.3,,0,,,M,,M,,,22,,54,,5.6,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.13,2017-06-13 00:00:00,ON,2017,6,13,19.8,,15.4,,24.1,,0,,,M,,M,,,33,,54,,1.8,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.14,2017-06-14 00:00:00,ON,2017,6,14,22.2,,16.9,,27.5,,0.2,,,M,,M,,,12,,35,,4.2,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.15,2017-06-15 00:00:00,ON,2017,6,15,19.3,,14.7,,23.8,,6.5,,,M,,M,,,12,,35,,1.3,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.16,2017-06-16 00:00:00,ON,2017,6,16,22,,18.1,,25.8,,0.9,,,M,,M,,,0,,0,,4,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.17,2017-06-17 00:00:00,ON,2017,6,17,22.5,,18.5,,26.4,,61.5,,,M,,M,,,25,,44,,4.5,,0,,,,,
-81.71666666666667,43.766666666666666,GODERICH,6122847,6122847.2017.6.18,2017-06-18 00:00:00,ON,2017,6,18,21.4,,17.4,,25.3,,4,,,M,,M,,,21,,50,,3.4,,0,,,,,
